UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Review_age,Review_gender,openness,conscientiousness,extraversion,agreeableness,neuroticism
1,1,0,0,1,2,Fat,Fitness,Fitness,Fit,Fat,1,6,-2,0,22,female,85,104,93,64,64
1,2,0,0,1,0,Female,Gender,Gender,Male,Female,1,3,2,0,22,female,85,104,93,64,64
1,3,1,1,0,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,5,2,1,22,female,85,104,93,64,64
1,4,1,0,1,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,5,0,1,22,female,85,104,93,64,64
1,5,0,1,0,0,Fat,Fitness,Fitness,Fit,Fat,1,2,1,0,22,female,85,104,93,64,64
1,6,1,1,0,2,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-2,1,22,female,85,104,93,64,64
1,7,0,0,1,2,Human,Speciesism,Speciesism,Dog,Human,1,4,2,0,22,female,85,104,93,64,64
1,8,0,0,1,0,More,Utilitarian,Utilitarian,1 Person,5 People,1,3,0,0,22,female,85,104,93,64,64
1,9,0,0,1,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,1,0,22,female,85,104,93,64,64
1,10,0,1,0,0,Young,Age,Age,Old,Young,1,4,-2,0,22,female,85,104,93,64,64
2,1,1,0,1,2,More,Utilitarian,Utilitarian,1 Person,5 People,1,4,-2,1,22,female,99,81,81,71,83
2,2,0,1,0,1,Legal,Law-Abiding,Law-Abiding,Illegal Ped,Legal Ped,1,4,-2,0,22,female,99,81,81,71,83
2,3,0,1,0,1,Fat,Fitness,Fitness,Fit,Fat,1,5,-1,0,22,female,99,81,81,71,83
2,4,0,1,0,2,Fat,Fitness,Fitness,Fit,Fat,1,6,1,0,22,female,99,81,81,71,83
2,5,0,0,1,2,Fat,Fitness,Fitness,Fit,Fat,1,5,-2,0,22,female,99,81,81,71,83
